K(120) : 100.0, 0.0 -> 100.0, 0.0*10.579074126921345
S(132) : 100.60613857165838, 1.246432828438898e-05 -> 100.60622724176625, 3.90086035217786e-06*10.354462535426253
S(133) : 100.60622724176625, 3.90086035217786e-06 -> 100.60625687583666, 1.0314630879193575e-06*10.327629004183146
S(134) : 100.60625687583666, 1.0314630879193575e-06 -> 100.60626454521339, 2.9352749552444397e-07*10.393016415337382
S(135) : 100.60626454521339, 2.9352749552444397e-07 -> 100.60626688609813, 6.911449679289218e-08*10.43114592517849
S(136) : 100.60626688609813, 6.911449679289218e-08 -> 100.60626745525694, 1.4294457381708594e-08*10.382312990221923
S(137) : 100.60626745525694, 1.4294457381708594e-08 -> 100.60626756829885, 3.4807152177833245e-09*10.453542284529375
S(138) : 100.60626756829885, 3.4807152177833245e-09 -> 100.606267597509, 6.613395574323629e-10*10.360505664511887
S(139) : 100.606267597509, 6.613395574323629e-10 -> 100.60626760260872, 1.718692002953618e-10*10.418861018588618
S(140) : 100.60626760260872, 1.718692002953618e-10 -> 100.60626760401568, 3.713233860780156e-11*10.442300862802895
S(141) : 100.60626760401568, 3.713233860780156e-11 -> 100.60626760432844, 7.368705837018076e-12*10.507636528619955
S(142) : 100.60626760432844, 7.368705837018076e-12 -> 100.60626760439446, 1.1006718655290824e-12*10.532394283510719
S(143) : 100.60626760439446, 1.1006718655290824e-12 -> 100.60626760440456, 1.4394112335106062e-13*10.56145241103819
S(144) : 100.60626760440456, 1.4394112335106062e-13 -> 100.60626760440593, 1.568242407701121e-14*10.601860436772657
S(145) : 100.60626760440593, 1.568242407701121e-14 -> 100.60626760440609, 1.2326384101558203e-15*10.686216254973678
S(146) : 100.60626760440609, 1.2326384101558203e-15 -> 100.6062676044061, 1.8786317875624726e-17*10.677198872986205
S(147) : 100.6062676044061, 1.8786317875624726e-17 -> 100.6062676044061, 4.1355542471053436e-19*10.61316562839555
S(148) : 100.6062676044061, 4.1355542471053436e-19 -> 100.6062676044061, 2.8993839972696105e-20*10.535411386379606
S(149) : 100.6062676044061, 2.8993839972696105e-20 -> 100.6062676044061, 3.725985587133713e-21*10.506277677760169
S(150) : 100.6062676044061, 3.725985587133713e-21 -> 100.6062676044061, 5.603574906302752e-22*10.523621075433233
S(151) : 100.6062676044061, 5.603574906302752e-22 -> 100.6062676044061, 6.949247732453933e-23*10.376500113490943
S(152) : 100.6062676044061, 6.949247732453933e-23 -> 100.6062676044061, 1.6415971160310402e-23*10.417219531825861
S(153) : 100.6062676044061, 1.6415971160310402e-23 -> 100.6062676044061, 3.368049893149914e-24*10.379096708386077
S(154) : 100.6062676044061, 3.368049893149914e-24 -> 100.6062676044061, 7.889526162047024e-25*10.406769955104131
S(155) : 100.6062676044061, 7.889526162047024e-25 -> 100.6062676044061, 1.6815672113412592e-25*10.294248030723127
S(156) : 100.6062676044061, 1.6815672113412592e-25 -> 100.6062676044061, 5.027244854602527e-26*10.290315685929643
S(157) : 100.6062676044061, 5.027244854602527e-26 -> 100.6062676044061, 1.5180326433461885e-26*10.320084636009803
S(158) : 100.6062676044061, 1.5180326433461885e-26 -> 100.6062676044061, 4.239194010770215e-27*10.395728466492162
S(159) : 100.6062676044061, 4.239194010770215e-27 -> 100.6062676044061, 9.39239004405282e-28*10.398827014309928
S(160) : 100.6062676044061, 9.39239004405282e-28 -> 100.6062676044061, 2.0587877275514576e-28*10.413698289082255
S(161) : 100.6062676044061, 2.0587877275514576e-28 -> 100.6062676044061, 4.279289378100916e-29*10.447012153472892
S(162) : 100.6062676044061, 4.279289378100916e-29 -> 100.6062676044061, 7.807378314755177e-30*10.575967872557804
S(163) : 100.6062676044061, 7.807378314755177e-30 -> 100.6062676044061, 6.565115885799135e-31*10.649978848985338
S(164) : 100.6062676044061, 6.565115885799135e-31 -> 100.6062676044061, 1.814531218663788e-32*10.63380856902834
S(165) : 100.6062676044061, 1.814531218663788e-32 -> 100.6062676044061, 7.2531118508187645e-34*10.567287909038496
S(166) : 100.6062676044061, 7.2531118508187645e-34 -> 100.6062676044061, 6.579224408742633e-35*10.5267903449221
S(167) : 100.6062676044061, 6.579224408742633e-35 -> 100.6062676044061, 8.00015775564284e-36*10.429896790630103
S(168) : 100.6062676044061, 8.00015775564284e-36 -> 100.6062676044061, 1.564030018056604e-36*10.441376338253967
S(169) : 100.6062676044061, 1.564030018056604e-36 -> 100.6062676044061, 2.9207356630567217e-37*10.390887205396862
S(170) : 100.6062676044061, 2.9207356630567217e-37 -> 100.6062676044061, 6.579052736828484e-38*10.393307555662915
S(171) : 100.6062676044061, 6.579052736828484e-38 -> 100.6062676044061, 1.469807923638975e-38*10.529832348564808
S(172) : 100.6062676044061, 1.469807923638975e-38 -> 100.6062676044061, 1.753143993444601e-39*10.498414351162602
S(173) : 100.6062676044061, 1.753143993444601e-39 -> 100.6062676044061, 2.511207067475641e-40*10.47813730656114
S(174) : 100.6062676044061, 2.511207067475641e-40 -> 100.6062676044061, 3.9854339466277914e-41*10.426621218040204
S(175) : 100.6062676044061, 3.9854339466277914e-41 -> 100.6062676044061, 7.891089100514746e-42*10.405152102036093
S(176) : 100.6062676044061, 7.891089100514746e-42 -> 100.6062676044061, 1.691637689033287e-42*10.350102933461931
S(177) : 100.6062676044061, 1.691637689033287e-42 -> 100.6062676044061, 4.3366864643228866e-43*10.322746399555589
S(178) : 100.6062676044061, 4.3366864643228866e-43 -> 100.6062676044061, 1.2022405416137682e-43*10.32162153362775
S(179) : 100.6062676044061, 1.2022405416137682e-43 -> 100.6062676044061, 3.343233361973071e-44*10.354460768691501
S(180) : 100.6062676044061, 3.343233361973071e-44 -> 100.6062676044061, 8.459598506837456e-45*10.272027672834472
S(181) : 100.6062676044061, 8.459598506837456e-45 -> 100.6062676044061, 2.6724698899825364e-45*10.32375092160947
S(182) : 100.6062676044061, 2.6724698899825364e-45 -> 100.6062676044061, 7.388295271528557e-46*10.214815936876894
S(183) : 100.6062676044061, 7.388295271528557e-46 -> 100.6062676044061, 2.6564341895821805e-46*10.271675768812917
S(184) : 100.6062676044061, 2.6564341895821805e-46 -> 100.6062676044061, 8.399065341484297e-47*10.191163382683753
S(185) : 100.6062676044061, 8.399065341484297e-47 -> 100.6062676044061, 3.1713742154575346e-47*10.153807729008179
S(186) : 100.6062676044061, 3.1713742154575346e-47 -> 100.6062676044061, 1.2878267413592631e-47*10.28876217642102
S(187) : 100.6062676044061, 1.2878267413592631e-47 -> 100.6062676044061, 3.903995812231365e-48*10.167249963099712
S(188) : 100.6062676044061, 3.903995812231365e-48 -> 100.6062676044061, 1.545302259987308e-48*10.119052042207258
S(189) : 100.6062676044061, 1.545302259987308e-48 -> 100.6062676044061, 6.684781336579691e-49*10.096506527281782
S(190) : 100.6062676044061, 6.684781336579691e-49 -> 100.6062676044061, 3.0067023980130082e-49*10.07895131220838
S(191) : 100.6062676044061, 3.0067023980130082e-49 -> 100.6062676044061, 1.3926231183916715e-49*10.043012061877493
S(192) : 100.6062676044061, 1.3926231183916715e-49 -> 100.6062676044061, 6.831993016253163e-50*9.96744346455274
B(193) : 100.6062676044061, 6.831993016253163e-50 -> 45.45168376927868, 5.550779109349948*9.936367985211822
B(194) : 45.45168376927868, 5.550779109349948 -> 19.456773871520628, 8.161894746221252*9.955480152118321
B(195) : 19.456773871520628, 8.161894746221252 -> 8.612603239440272, 9.240832730831492*10.05078214573913
B(197) : 101.02480618173465, 0.0 -> 48.181685232427746, 5.330340356043622*9.913648551427407
B(198) : 48.181685232427746, 5.330340356043622 -> 19.790502734729838, 8.20809316307773*9.865747477789325
B(199) : 19.790502734729838, 8.20809316307773 -> 7.405850051391019, 9.46996995586164*9.814470599793045
B(200) : 7.405850051391019, 9.46996995586164 -> 2.4817184378807307, 9.967831893749608*9.89055647515346
B(201) : 2.4817184378807307, 9.967831893749608 -> 0.975649474181224, 10.118900560570326*9.96943307566776
B(202) : 0.975649474181224, 10.118900560570326 -> 0.44225738982485907, 10.172780823157419*9.899582124236678
B(203) : 0.44225738982485907, 10.172780823157419 -> 0.17691121546857674, 10.199799256347132*9.820931232137454
B(204) : 0.17691121546857674, 10.199799256347132 -> 0.06015513712695411, 10.21151276385603*9.967644469680694
B(205) : 0.06015513712695411, 10.21151276385603 -> 0.02718598123135149, 10.214809717324755*9.999885108588048
K(207) : 102.68858057832436, 0.0 -> 102.68858057832436, 0.0*10.04841624521251
K(208) : 102.68858057832436, 0.0 -> 102.68858057832436, 0.0*10.168852492775628
K(209) : 102.68858057832436, 0.0 -> 102.68858057832436, 0.0*10.105491026960475
K(210) : 102.68858057832436, 0.0 -> 102.68858057832436, 0.0*10.017264117933262
B(211) : 102.68858057832436, 0.0 -> 50.294509775822284, 5.308012452916107*9.870751296696358
B(212) : 50.294509775822284, 5.308012452916107 -> 19.01277501859128, 8.460345019691365*9.923361223664065
B(213) : 19.01277501859128, 8.460345019691365 -> 7.950295735441291, 9.560613791819582*10.054342687334621
B(215) : 103.8415413114951, 0.0 -> 51.85373839822074, 5.106114614259194*10.18147982187761
S(216) : 51.85373839822074, 5.106114614259194 -> 83.6782126497846, 1.9657132252304166*10.133887458700341
S(217) : 83.6782126497846, 1.9657132252304166 -> 94.68155353765569, 0.8800358020032215*10.135000187406929
S(218) : 94.68155353765569, 0.8800358020032215 -> 99.34840435254878, 0.4238935654732451*10.231130645553359
S(219) : 99.34840435254878, 0.4238935654732451 -> 101.99075310931944, 0.16857165159737297*10.34908722349333
S(220) : 101.99075310931944, 0.16857165159737297 -> 103.17682295830758, 0.05442386517039696*10.390651331175029
S(221) : 103.17682295830758, 0.05442386517039696 -> 103.56405619626767, 0.017166572625456615*10.39348840211615
S(222) : 103.56405619626767, 0.017166572625456615 -> 103.68509689796052, 0.0055926065452742806*10.458014206565252
S(223) : 103.68509689796052, 0.0055926065452742806 -> 103.72895216222821, 0.001436135411665691*10.551081159469586
S(224) : 103.72895216222821, 0.001436135411665691 -> 103.74199903286843, 0.00021838616898903055*10.7139221959622
S(225) : 103.74199903286843, 0.00021838616898903055 -> 103.74431150897726, 0.0*10.588931155938065
K(226) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.644511336807756
K(227) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.571937229244543
K(228) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.514310309686145
K(229) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.546975811427265
K(230) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.569872358712747
K(231) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.685786165561485
K(232) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.692139691376749
K(233) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.814117536747975
K(234) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.77788132372761
K(235) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.83631548199717
K(236) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.980405218640254
K(237) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.906240359607128
K(238) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.901606535356825
K(239) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.801445252131101
K(240) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.695454926671164
K(241) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.612299466152043
K(242) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.60691214628682
K(243) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.543603370391313
K(244) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.532930646120366
K(245) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.491520571823589
K(246) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.575899109679142
K(247) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.510535677584283
K(248) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.490473049071518
K(249) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.572363016261129
K(250) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.495595099638665
K(251) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.475552988260427
K(252) : 103.74431150897726, 0.0 -> 103.74431150897726, 0.0*10.36872765106348
B(253) : 103.74431150897726, 0.0 -> 49.317530548925646, 5.222151549949725*10.422290590278942
S(254) : 49.317530548925646, 5.222151549949725 -> 77.45109421245922, 2.499762100235382*10.334143656957528
B(255) : 77.45109421245922, 2.499762100235382 -> 34.52101538070682, 6.62465538789723*10.407561078043518
S(256) : 34.52101538070682, 6.62465538789723 -> 69.57775189217972, 3.254809455938141*10.403068039105387
S(257) : 69.57775189217972, 3.254809455938141 -> 86.56772246587775, 1.6116877231698306*10.340055903876063
B(258) : 86.56772246587775, 1.6116877231698306 -> 39.02339119237106, 6.256206633694678*10.236653610294809
B(259) : 39.02339119237106, 6.256206633694678 -> 14.130305857006388, 8.669175389108723*10.316372841343824
B(260) : 14.130305857006388, 8.669175389108723 -> 6.082701438646442, 9.451388258780215*10.28825365880226
B(261) : 6.082701438646442, 9.451388258780215 -> 2.471734562175584, 9.803754036581996*10.247779733314967
B(262) : 2.471734562175584, 9.803754036581996 -> 0.918597959198983, 9.958699566392076*10.02375870333475
B(263) : 0.918597959198983, 9.958699566392076 -> 0.16489057078356528, 10.034482547752436*9.945602230023296
B(264) : 0.16489057078356528, 10.034482547752436 -> 0.018545095931557454, 10.049013624089614*10.07120680231965
B(265) : 0.018545095931557454, 10.049013624089614 -> 0.004083588760463419, 10.05044808315703*10.081505634829309
B(266) : 0.004083588760463419, 10.05044808315703 -> 0.0009352679387822026, 10.050758518386292*10.14163511391944
B(267) : 0.0009352679387822026, 10.050758518386292 -> 0.00026243879873145124, 10.050825426296814*10.056047704955006
B(268) : 0.00026243879873145124, 10.050825426296814 -> 5.437629542419018e-05, 10.050846242189342*9.99536786741977
B(269) : 5.437629542419018e-05, 10.050846242189342 -> 8.436599365773354e-06, 10.050850856566498*9.955773986175874
B(270) : 8.436599365773354e-06, 10.050850856566498 -> 1.022458755978685e-06, 10.050851603785237*9.922316225685606
B(271) : 1.022458755978685e-06, 10.050851603785237 -> 9.457451790639387e-08, 10.05085169743721*9.907791562057557
B(272) : 9.457451790639387e-08, 10.05085169743721 -> 7.569708347328501e-09, 10.05085170621117*9.916254751431264
B(273) : 7.569708347328501e-09, 10.05085170621117 -> 6.608229396630886e-10, 10.050851706906268*9.939436444745587
B(274) : 6.608229396630886e-10, 10.050851706906268 -> 7.082755386461501e-11, 10.050851706965982*9.880497316974779
B(275) : 7.082755386461501e-11, 10.050851706965982 -> 4.0109546385342955e-12, 10.050851706972711*9.931102017227534
B(276) : 4.0109546385342955e-12, 10.050851706972711 -> 4.0122603548749747e-13, 10.050851706973079*9.837103842138127
B(277) : 4.0122603548749747e-13, 10.050851706973079 -> 7.788640931961993e-15, 10.05085170697312*9.786244563676732
B(278) : 7.788640931961993e-15, 10.05085170697312 -> 0.0, 10.05085170697312*9.790075564779825
K(279) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.782591477100267
K(280) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.773197905714595
K(281) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.773710613928047
K(282) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.638491368552982
K(283) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.608389316314629
K(284) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.681472778026672
K(285) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.695512377532998
K(286) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.706072433038583
K(287) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.715921334824346
K(288) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.783344417761947
K(289) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.793501090005968
K(290) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.770474581705287
K(291) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.715517241629945
K(292) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.88845628426951
K(293) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.723832754436616
K(294) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.591874554609682
K(295) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.625617444029057
K(296) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.675979487415553
K(297) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.725121614519553
K(298) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.697811402786693
K(299) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.697760787759739
K(300) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.694715314865904
K(301) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.762281291342207
K(302) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.749094119177478
K(303) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.722300496406053
K(304) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.691882579298111
K(305) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.576015788237887
K(306) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.56423766207178
K(307) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.530777329114851
K(308) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.600379254751203
K(309) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.55489249930753
K(310) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.565689322251185
K(311) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.634362039975079
K(312) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.52088679242752
K(313) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.562441508617114
K(314) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.579258950605325
K(315) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.592805762346686
K(316) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.671897859618458
K(317) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.620868613123498
K(318) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.752735807191687
K(319) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.811401786972969
K(320) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.800961487771763
K(321) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.725570611175092
K(322) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.708015562925631
K(323) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.663749509488449
K(324) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.712929553251533
K(325) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.653794550803989
K(326) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.615337214779176
K(327) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.573876789841176
K(328) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.602374746519493
K(329) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.643984505018407
K(330) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.55053170667057
K(331) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.631552347334626
K(332) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.661723850809484
K(333) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.62412247726169
K(334) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.684277926692266
K(335) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.696301758174874
K(336) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.709092491596461
K(337) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.796810342849241
K(338) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.79751409840112
K(339) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.69064764916198
K(340) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.799223948262306
K(341) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.772957437685143
K(342) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.784497488655305
K(343) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.922495708208634
K(344) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.946174780756197
K(345) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.858477724029504
K(346) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.806125451979284
K(347) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.87221735886513
K(348) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.863284038285995
K(349) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.847433563139209
K(350) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.853874844945707
K(351) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.879776778971584
K(352) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.804309974386506
K(353) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.726377214101058
K(354) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.745633161574112
K(355) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.780408997950182
K(356) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.723178105084756
K(357) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.845527904739738
K(358) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.86811095451765
K(359) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.957534929280275
K(360) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.961877082175954
K(361) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.795408278957199
K(362) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.759944399118119
K(363) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.712998286301
K(364) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.738141076568699
K(365) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.714785936531847
K(366) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.768911354875739
K(367) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.854922881846994
K(368) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.954006859805446
K(369) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.868435912499901
K(370) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.914642851455884
K(371) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.926767257460757
K(372) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*9.927195592134812
K(373) : 0.0, 10.05085170697312 -> 0.0, 10.05085170697312*10.10169869835127
S(374) : 0.0, 10.05085170697312 -> 65.92854140798681, 3.467087600147287*10.013806743111322
S(375) : 65.92854140798681, 3.467087600147287 -> 85.41343933477322, 1.5396643325448716*10.109298904035905
S(376) : 85.41343933477322, 1.5396643325448716 -> 95.79815510057333, 0.5127130745210686*10.112179798857994
S(377) : 95.79815510057333, 0.5127130745210686 -> 99.56357954985631, 0.14262629874690924*10.174436634236255
S(378) : 99.56357954985631, 0.14262629874690924 -> 100.77892902359461, 0.02544838580828125*10.371830691120438
S(379) : 100.77892902359461, 0.02544838580828125 -> 101.04163282415173, 0.0*10.323004474084467
K(380) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.272141488246621
K(381) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.37136139399492
K(382) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.424660363372633
K(383) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.449656303978449
K(384) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.408638214684478
K(385) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.502545565897615
K(386) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.519553708573277
K(387) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.380550674712133
K(388) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.52926689074763
K(389) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.56851979517787
K(390) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.493780567080172
K(391) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.379702980445755
K(392) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.306650467263328
K(393) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.240169002348805
K(394) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.331291320054875
K(395) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.26358336241396
K(396) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.231205292278409
K(397) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.210988527881023
K(398) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.169743312787803
K(399) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.186548981857946
K(400) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.19725462355502
K(401) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.150203995437765
K(402) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.157093541012763
K(403) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.347457413062163
K(404) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.305441095117322
K(405) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.356448685533984
K(406) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.30785783686316
K(407) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.335399970567675
K(408) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.288716646858504
K(409) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.232216288127189
K(410) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.094925043780675
K(411) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.245623746237058
K(412) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.31387278627927
K(413) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.245329808699818
K(414) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.201087150222792
K(415) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.145546225403523
K(416) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.169930669983186
K(417) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.085346113184091
K(418) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.086358223755825
K(419) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.080693603795407
K(420) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.06840833155536
K(421) : 101.04163282415173, 0.0 -> 101.04163282415173, 0.0*10.043119676606375
B(422) : 101.04163282415173, 0.0 -> 50.36808041878003, 5.007326148182283*10.119882529274987
S(423) : 50.36808041878003, 5.007326148182283 -> 79.46077098325789, 2.14433213416039*10.16163164225721
S(424) : 79.46077098325789, 2.14433213416039 -> 92.77642878497548, 0.8328330045219601*10.153005443006744
