K(273) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.23723986431948
K(274) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.20598394910768
K(275) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.23796249581075
K(276) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.22299923578254
K(277) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.23249217158707
K(278) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.16166607560193
K(279) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.17975054307989
K(280) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.22852353670827
K(281) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.28157140876512
K(282) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.30854702352542
K(283) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.3841270930368
K(284) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.32143336228769
K(285) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.37534252450288
K(286) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.43828769619883
K(287) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.34145405926807
K(288) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.3505208648194
K(289) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.3448955864918
K(290) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.27041438897933
K(291) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.1844409671457
K(292) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.23226365948928
K(293) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.28427623473269
K(294) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.24513430211925
K(295) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.30186244004638
